gebiet_id;gebiet_name;gebiet_typ;gemeinde_name;CSU_stimmen;CSU_anteil;FREIE WÄHLER/FWO_stimmen;FREIE WÄHLER/FWO_anteil;AfD_stimmen;AfD_anteil;GRÜNE_stimmen;GRÜNE_anteil;SPD_stimmen;SPD_anteil;ÖDP_stimmen;ÖDP_anteil;BP_stimmen;BP_anteil
097775751;Verwaltungsgemeinschaft Westendorf;verbandsgemeinde;Verwaltungsgemeinschaft Westendorf;;;;;;;;;;;;;;
097771390003;Briefwahl Irsee;briefwahlbezirk;Markt Irsee;8890;35,3;3480;13,8;3405;13,5;5032;20,0;1435;5,7;872;3,5;126;0,5
097771510007;Adalbert-Stifter-Schule, Eingang West, Zimmer 060;stimmbezirk;Stadt Marktoberdorf;2555;27,3;2617;27,9;2430;25,9;856;9,1;508;5,4;104;1,1;33;0,4
097771830002;Mehrzweckhalle;stimmbezirk;Gemeinde Rettenbach a.Auerberg;5537;33,5;4010;24,2;3673;22,2;1639;9,9;749;4,5;149;0,9;195;1,2
097771820002;Stimmbezirk 2 (Dösingen);stimmbezirk;Gemeinde Westendorf;3134;32,8;1921;20,1;2528;26,5;756;7,9;247;2,6;81;0,8;151;1,6
09777163;09777163 - Gemeinde Rieden am Forggensee;gemeinde;Gemeinde Rieden am Forggensee;15351;39,9;7060;18,3;3199;8,3;6852;17,8;2035;5,3;999;2,6;212;0,6
09777175;09777175 - Markt Unterthingau;gemeinde;Markt Unterthingau;31427;35,4;24697;27,8;11913;13,4;10187;11,5;3789;4,3;1327;1,5;752;0,8
097771290005;Realschule Zimmer 011;stimmbezirk;Stadt Füssen;3887;41,6;1185;12,7;1796;19,2;690;7,4;1152;12,3;351;3,8;13;0,1
097771590002;Rehbichl, Kreuzegg, Röfleuten, Halden;stimmbezirk;Gemeinde Pfronten;4178;34,9;1449;12,1;1653;13,8;2699;22,5;650;5,4;265;2,2;84;0,7
097771510011;Schule Bertoldshofen, Zimmer 01;stimmbezirk;Stadt Marktoberdorf;2504;24,9;3929;39,0;1026;10,2;1136;11,3;939;9,3;109;1,1;123;1,2
097771290025;Rathaus - Kulturmanagement A.111;briefwahlbezirk;Stadt Füssen;4142;47,9;777;9,0;339;3,9;1017;11,8;1269;14,7;109;1,3;37;0,4
097771540013;Obergünzburg- Stimmbezirk XIII;briefwahlbezirk;Markt Obergünzburg;5983;25,8;8985;38,8;2107;9,1;3624;15,6;959;4,1;220;0,9;157;0,7
09777159;Gemeinde Pfronten;gemeinde;Gemeinde Pfronten;100067;43,8;28157;12,3;21775;9,5;35766;15,6;17891;7,8;6608;2,9;884;0,4
097771180302;Alte Schule Bernbach;stimmbezirk;Gemeinde Bidingen;3052;29,2;2725;26,1;2308;22,1;1004;9,6;458;4,4;271;2,6;87;0,8
097771450003;0003 Dorfhaus Großkitzighofen;stimmbezirk;Gemeinde Lamerdingen;3567;32,1;2271;20,5;1652;14,9;2507;22,6;362;3,3;317;2,9;77;0,7
097771510031;Mittelschule, Klassenzimmer 006, EG;briefwahlbezirk;Stadt Marktoberdorf;6023;30,4;6818;34,4;1289;6,5;2486;12,5;1708;8,6;228;1,2;366;1,8
097771750001;Urnenwahl Unterthingau;stimmbezirk;Markt Unterthingau;7847;39,4;3974;19,9;3198;16,0;2376;11,9;980;4,9;400;2,0;196;1,0
097771180031;Briefwahlbezirk 1 Bidingen;briefwahlbezirk;Gemeinde Bidingen;11754;38,7;7253;23,9;3665;12,1;3595;11,9;1132;3,7;480;1,6;313;1,0
